Compute Time (ms),Total Expected Value (Precise),Total Expected Value (ROC)
653.0,0.43005268668485835,0.42651543146167986,
5.0,0.25951822240302563,0.25978166306982503,
4052.0,0.3272243465569786,0.32671761329948984,
2783.0,0.31582980264855903,0.3147641078425806,
569.0,0.5175322965488588,0.5184081667950886,
3952.0,0.23501660931962562,0.23430885425093045,
3.0,0.11433422374411242,0.11422581294462272,
22.0,0.32575766102034237,0.3256745743036425,
16.0,0.21746306747225982,0.21731402889332552,
701.0,0.25369355905515156,0.25467485887087415,
0.0,0.08353458789740176,0.08404883347624838,
686.0,0.06748075568463624,0.06738356176363504,
0.0,0.10978341481559553,0.10971313179670429,
548.0,0.5569536573140377,0.5570544118848081,
16.0,0.11009881254578528,0.1100593813979819,
1102.0,0.1782974787635544,0.17848692761250348,
17.0,0.3164429164968988,0.31647707961713295,
16.0,0.07269276022930232,0.07270934552700807,
711.0,0.22703453621660669,0.2267979246610422,
2366.0,0.5217370755238582,0.521350099023402,
686.0,0.25534527261405976,0.2550399812749407,
22.0,0.07856609963821612,0.07861094580713537,
0.0,0.1166660066340212,0.11718029673937023,
4.0,0.2650148970538601,0.2650402841662664,
533.0,0.5090212170734689,0.5080327391486552,
664.0,0.5431241406577085,0.5437873827823656,
16.0,0.08736971383199503,0.08722605085029521,
2727.0,0.3575527005526238,0.3576499616856226,
501.0,0.4521162341054701,0.4471773271973654,
500.0,0.5278988959863005,0.5281886394144361,
17.0,0.27783049523932335,0.2778204629923917,
4448.0,0.32278367244957284,0.32168695852810214,
17.0,0.2700552267863381,0.270839957724766,
0.0,0.13543354574810762,0.1350619945764639,
3139.0,0.5165857866162551,0.5163679252310794,
0.0,0.1414870437982564,0.14151747339009202,
3823.0,0.45622135949330084,0.4560120992163468,
0.0,0.22767954474768176,0.2313977554889455,
31.0,0.10953671265737885,0.10950551474909316,
4.0,0.3241497878531248,0.3237804888823848,
470.0,0.5175028574636515,0.5167494430945355,
638.0,0.5384060714202623,0.5385727622046023,
643.0,0.09224297739237713,0.09202272016023504,
2860.0,0.35724452429506365,0.35637441739918874,
649.0,0.5300229472421284,0.5299692914965014,
1054.0,0.1971713110121055,0.1973193592062642,
4123.0,0.08549987175015304,0.08547392452710927,
3349.0,0.4024025995412179,0.4001831738262793,
17.0,0.1312038817014308,0.1309665487120281,
16.0,0.08803732810564442,0.08814693329286989,
3355.0,0.5399760634078474,0.5398064650659075,
22.0,0.08831997055686101,0.08831186940289068,
16.0,0.08578653929397882,0.08581447420491077,
3908.0,0.09045887101882709,0.09044946024742054,
15.0,0.26023146911848183,0.26013948822224237,
1040.0,0.20045922123348225,0.19980366885684467,
617.0,0.3394751636468566,0.3374613047779195,
0.0,0.35670552982910664,0.35508813162765596,
1917.0,0.27197388353784063,0.2719855000539505,
